Sequence	BLAST	Pfam	Prosite	NucPloc	Gene Ontology	Comments
ABO11023	A0A1E3M797 (Ribosomal silencing factor RsfS OS=Acinetobacter baumannii GN=rsfS PE=3 SV=1)	PF02410.13_Ribosomal silencing factor during starvation	NULL	Nucleolus	This family is expressed by almost all bacterial and eukaryotic genomes but not by archaea. Its function is to down-regulate protein synthesis under conditions of nutrient shortage, and it does this by binding to protein L14 of the large ribosomal subunit, thus acting as a ribosomal silencing factor (RsfS) by blocking the joining of the ribosomal subunits [1]. This family is structurally homologous to nucleotidyltransferases.	NULL	The ribosomal silencing factor RsfS slows cell growth by inhibiting protein synthesis during periods of diminished nutrient availability
ABO11025	A0A1E3M7C2 (3-hydroxyisobutyrate dehydrogenase OS=Acinetobacter baumannii GN=BGC29_14490 PE=4 SV=1)	PF14833.4_NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase	NULL	Nucleolus	3-Hydroxyisobutyrate is a central metabolite in the valine catabolic pathway, and is reversibly oxidised to methylmalonate semi-aldehyde by a specific dehydrogenase belonging to the 3-hydroxyacid dehydrogenase family. The reaction is NADP-dependent and this region of the enzyme binds NAD. The NAD-binding domain of 6-phosphogluconate dehydrogenase adopts an alpha helical structure [1].	NULL	3-Hydroxyisobutyrate, a central metabolite in the valine catabolic pathway in the liver of both humans and animals
ABO10675	A0A1E3M4L7 (Uncharacterized protein OS=Acinetobacter baumannii GN=BGC29_19215 PE=4 SV=1)	NULL	NULL	Nuclear envelope	NULL	NULL	sub-nuclearly localized at the nuclear envelope
ABO10678	A0A062FDT6 (Outer membrane porin, OprD family protein OS=Acinetobacter baumannii 754286 GN=J567_1247 PE=4 SV=1)	PF03573.11_outer membrane porin, OprD family	NULL	Nuclear pore complex	This family includes outer membrane proteins related to OprD. OprD has been described as a serine type peptidase [1]. However the proposed catalytic residues are not conserved suggesting that many of these proteins are not peptidases.	NULL	OprD is a specific porin for basic amino acids and imipenem; function as a nonspecific porin that allowed the size-dependent uptake of monosaccharides and facilitation of the uptake of quinolone and other antibiotics
ABO10683	A0A062IAF5 (TnsA endonuclease domain protein OS=Acinetobacter baumannii 233846 GN=J635_4400 PE=4 SV=1)	PF08722.9_TnsA endonuclease N terminal	NULL	Nuclear envelope	The Tn7 transposase is composed of proteins TnsA and TnsB.  DNA breakage at the 5' end of the transposon is carried out by TnsA, and breakage and joining at the 3' end is carried out by TnsB. The N terminal domain of TnsA is catalytic.	NULL	Performs additional cleavage events in DNA recombination
ABO10684	A0A062IEK3 (Transposase DDE domain protein OS=Acinetobacter baumannii 233846 GN=J635_4401 PE=4 SV=1)	PF01609.19_Transposase DDE domain	NULL	Nucleolus	Transposase proteins are necessary for efficient DNA transposition. This domain is a member of the DDE superfamily, which contain three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis. The catalytic activity of this enzyme involves DNA cleavage at a specific site followed by a strand transfer reaction [3]. This family contains transposases for  IS4 Swiss:P03835 [1],  IS421 Swiss:P11901 [2], IS5377 Swiss:Q45620, IS427 [4], IS402 [5], IS1355 Swiss:O69604, IS5, which was original isolated in bacteriophage lambda [6].	NULL	Transposase proteins are necessary for efficient DNA transposition. This domain is a member of the DDE superfamily, which contains three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis
ABO10685	A0A1T0DMQ7 (Transposase (Fragment) OS=Acinetobacter baumannii GN=BTG57_11290 PE=4 SV=1)	NULL	NULL	Nucleolus	NULL	NULL	catalyzes the movement of the transposon to another part of the genome by a cut and paste mechanism or a replicative transposition mechanism
ABO10686	A0A1E3M593 (Transposase (Fragment) OS=Acinetobacter baumannii GN=BGC29_18200 PE=4 SV=1)	PF09299.9_Mu transposase, C-terminal	INTEGRASE,PS50994;Integrase catalytic domain profile(MATRIX)	Nucleolus	Members of this family are found in various prokaryotic integrases and transposases. They adopt a beta-barrel structure with Greek-key topology [1].	NULL	This domain is found in various prokaryotic integrases and transposases. It adopts a beta-barrel structure with Greek-key topology
ABO11036	A0A0E2GUI5 (3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Acinetobacter nosocomialis NIPH 386 GN=panB PE=3 SV=1)	PF02548.13_Ketopantoate hydroxymethyltransferase	NULL	Nucleolus	Ketopantoate hydroxymethyltransferase (EC:2.1.2.11) is the first enzyme in the pantothenate biosynthesis pathway.	NULL	enzyme that catalyzes the chemical reaction 5,10-methylenetetrahydrofolate + 3-methyl-2-oxobutanoate + H2O <--> tetrahydrofolate + 2-dehydropantoate
ABO11037	A0A062CVE9 (Ketopantoate hydroxymethyltransferase family protein (Fragment) OS=Acinetobacter baumannii 496487 GN=J524_4523 PE=4 SV=1)	PF02548.13_Ketopantoate hydroxymethyltransferase	NULL	Nucleolus	Ketopantoate hydroxymethyltransferase (EC:2.1.2.11) is the first enzyme in the pantothenate biosynthesis pathway.	NULL	essential for the biosynthesis of coenzyme A
ABO11040	A0A022IZJ5 (Phosphocarrier, HPr family protein OS=Acinetobacter sp. 1564232 GN=J622_02861 PE=4 SV=1)	PF00381.17_PTS HPr component phosphorylation site	PTS_HPR_DOM,PS51350;PTS HPR domain profile(MATRIX)	Nucleolus	NULL	NULL	Phosphocarrier HPr protein is a small cytoplasmic protein that is a component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS) is a major carbohydrate transport system in bacteria
ABO11049	A0A009JQB6 (Uncharacterized protein OS=Acinetobacter baumannii 1419130 GN=J518_1767 PE=4 SV=1)	PF08719.9_Domain of unknown function (DUF1768)	NULL	Nucleolus	This is a domain of unknown function.  It is alpha helical in structure. The GO annotation for this protein suggests it is involved in nematode larval development and has a positive regulation on growth rate.	NULL	sub-nuclearly localized at the nucleolus
ABO11051	A0A090BCC7 (Uncharacterized protein OS=Acinetobacter baumannii GN=AB988_1941 PE=4 SV=1)	NULL	NULL	Nucleolus	NULL	NULL	sub-nuclearly localized at the nucleolus
ABO11055	A0A009SGW7 (Thioredoxin OS=Acinetobacter baumannii 99063 GN=J529_0701 PE=3 SV=1)	PF00085.18_Thioredoxin	THIOREDOXIN_2,PS51352;Thioredoxin domain profile(MATRIX)	Nucleolus	Thioredoxins are small enzymes that participate in redox reactions, via the reversible oxidation of an active centre disulfide bond. Some members with only the active site are not separated from the noise.	NULL	Thioredoxin is a class of small redox proteins known to be present in all organisms. It plays a role in many important biological processes, including redox signaling
ABO11058	A0A171EK63 (tRNA(Ile)-lysidine synthase OS=Acinetobacter baumannii Naval-82 GN=tilS PE=3 SV=1)	PF01171.18_PP-loop family	NULL	Nuclear pore complex	This family of proteins belongs to the PP-loop superfamily [1].	NULL	This enzyme catalyses the following chemical reaction [tRNAIle2]-cytidine34 + L-lysine + ATP <--> [tRNAIle2]-lysidine34 + AMP + diphosphate + H2O
ABO10699	A0A062FCY9 (Uncharacterized protein OS=Acinetobacter baumannii 754286 GN=J567_1261 PE=4 SV=1)	NULL	NULL	Nuclear pore complex	NULL	NULL	sub-nuclearly localized at the nuclear pore
ABO10707	A0A1E3M4U9 (Sigma-54-dependent Fis family transcriptional regulator OS=Acinetobacter baumannii GN=BGC29_18880 PE=4 SV=1)	PF02954.17_Bacterial regulatory protein, Fis family	SIGMA54_INTERACT_4,PS50045;Sigma-54 interaction domain profile(MATRIX)	Nucleolus	NULL	NULL	Regulator of transcription for Fis protein: a regulator of bacterial functions and binds specifically to weakly related DNA sequences
ABO10708	A0A1T0ZQW8 (Sigma-54-dependent Fis family transcriptional regulator OS=Acinetobacter baumannii GN=BTG83_03835 PE=4 SV=1)	PF00158.24_Sigma-54 interaction domain	SIGMA54_INTERACT_4,PS50045;Sigma-54 interaction domain profile(MATRIX)	Nucleolus	NULL	NULL	Regulator of transcription for Fis protein (specifically in sigma 54 interaction domain where sigma factors bind): a regulator of bacterial functions and binds specifically to weakly related DNA sequences
ABO10709	A0A1E3M4U9 (Sigma-54-dependent Fis family transcriptional regulator OS=Acinetobacter baumannii GN=BGC29_18880 PE=4 SV=1)	PF00072.22_Response regulator receiver domain	RESPONSE_REGULATORY,PS50110;Response regulatory domain profile(MATRIX)	Nucleolus	This domain receives the signal from the sensor partner in bacterial two-component systems. It is usually found N-terminal to a DNA binding effector domain.	NULL	Regulator of transcription for Fis protein (specifically in response regulator domain): a regulator of bacterial functions and binds specifically to weakly related DNA sequences
ABO11069	K9BFM6 (STAS domain protein OS=Acinetobacter sp. WC-487 GN=ACINWC487_0670 PE=4 SV=1)	PF01740.19_STAS domain	STAS,PS50801;STAS domain profile(MATRIX)	Nuclear pore complex	The STAS (after Sulphate Transporter and AntiSigma factor antagonist) domain is found in the C terminal region of Sulphate transporters and bacterial antisigma factor antagonists. It has been suggested that this domain may have a general NTP binding function [2].	NULL	The first STAS domain proteins studied were single-domain anti-sigma factor antagonists (anti-anti-_). These anti-anti-_ indirectly stimulate bacterial RNA polymerase by inactivating inhibitory anti-_ kinases, liberating _ factors to direct specific transcription of target genes or operons
ABO10733	A0A062DF14 (Argininosuccinate lyase (Fragment) OS=Acinetobacter baumannii 496487 GN=J524_1483 PE=4 SV=1)	N_U	NULL	Nucleolus	L	NULL	ASL is an enzyme that catalyzes the reversible breakdown of argininosuccinate (ASA) producing the amino acid arginine and dicarboxylic acid fumarate
ABO10734	N9J7D0 (Argininosuccinate lyase OS=Acinetobacter baumannii NIPH 601 GN=argH PE=3 SV=1)	PF00206.18_Lyase	FUMARATE_LYASES,PS00163;Fumarate lyases signature(PATTERN)	Nucleolus	NULL	NULL	Catalyzes the reversible hydration/dehydration of fumarate to malate. Fumarase comes in two forms: mitochondrial and cytosolic
ABO10739	A0A062EIK3 (Uncharacterized protein (Fragment) OS=Acinetobacter baumannii 855125 GN=J560_3823 PE=4 SV=1)	NULL	NULL	Nucleolus	NULL	NULL	sub-nuclearly localized at the nucleolus
ABO10740	A0A062EJS7 (Uncharacterized protein (Fragment) OS=Acinetobacter baumannii 855125 GN=J560_3740 PE=4 SV=1)	NULL	NULL	Nucleolus	NULL	NULL	sub-nuclearly localized at the nucleolus
ABO11085	A0A062IJX7 (Peptidase S24-like family protein OS=Acinetobacter baumannii 233846 GN=J635_4042 PE=3 SV=1)	PF00717.21_Peptidase S24-like	NULL	Nucleolus	NULL	NULL	enzyme that performs proteolysis; protein catabolism by hydrolysis of peptide bonds; belongs to family S24 proteins
ABO10743	A0A022J814 (H-NS histone family protein OS=Acinetobacter sp. 1564232 GN=J622_00040 PE=4 SV=1)	PF00816.19_H-NS histone family	NULL	Nucleolus	NULL	NULL	the histone-like nucleoid-structuring (H-NS) protein belongs to a family of bacterial proteins that play a role in the formation of nucleoid structure and affect gene expression under certain conditions. The protein has a homologue that is encoded by many large, conjugative plasmids
ABO10744	A0A1E3M4X1 (General secretion pathway protein OS=Acinetobacter baumannii GN=BGC29_19045 PE=4 SV=1)	PF01203.17_Type II secretion system (T2SS), protein N	NULL	Nuclear envelope	Members of the T2SN family are involved in the Type II protein secretion system. The precise function of these proteins is unknown.	NULL	The unifying feature of all proteins that are transported out of the cytoplasm of gram-negative bacteria by the general secretory pathway (GSP) is the presence of a long stretch of predominantly hydrophobic amino acids, the signal sequence
ABO10756	A0A0E2GH68 (50S ribosomal protein L7/L12 OS=Acinetobacter nosocomialis NIPH 386 GN=rplL PE=3 SV=1)	PF16320.3_Ribosomal protein L7/L12 dimerisation domain	NULL	Nucleolus	This is the N-terminal dimerisation domain of ribosomal protein L7/L12 [1].	NULL	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation.
ABO11097	A0A1E3M764 (Uncharacterized protein OS=Acinetobacter baumannii GN=BGC29_17625 PE=4 SV=1)	PF00565.15_Staphylococcal nuclease homologue	TNASE_3,PS50830;Thermonuclease domain profile(MATRIX)	Nucleolus	Present in all three domains of cellular life. Four copies in the transcriptional coactivator p100: these, however, appear to lack the active site residues of Staphylococcal nuclease. Positions 14 (Asp-21), 34 (Arg-35), 39 (Asp-40), 42 (Glu-43) and 110 (Arg-87) [SNase numbering in parentheses] are thought to be involved in substrate-binding and catalysis.	NULL	Staphylococcal nuclease has a multi-domain organization. The human cellular coactivator p100 contains four repeats, each of which is a SNase homologue. These repeats are unlikely to possess SNase-like activities as each lacks equivalent SNase catalytic residues, yet they may mediate p100's single-stranded DNA-binding function
ABO11101	N8XUD1 (Uncharacterized protein OS=Acinetobacter sp. CIP 56.2 GN=F966_00476 PE=4 SV=1)	PF04023.12_FeoA domain	NULL	Nucleolus	This family includes FeoA a small protein, probably involved in Fe2+ transport [1]. This presumed short domain is also found at the C-terminus of a variety of metal dependent transcriptional regulators.  This suggests that this domain may be metal-binding. In most cases this is likely to be either iron or manganese.	NULL	This family includes FeoA a small protein, probably involved in Fe2+ transport. This presumed short domain is also found at the C-terminus of a variety of proteins
ABO11102	N8XNT0 (Ferrous iron transport protein B OS=Acinetobacter sp. CIP 56.2 GN=F966_00475 PE=3 SV=1)	PF07670.12_Nucleoside recognition	G_FEOB,PS51711;FeoB-type guanine nucleotide-binding (G) domain profile(MATRIX)	Nuclear envelope	This region in the nucleoside transporter proteins are responsible for determining nucleoside specificity in the human CNT1 and CNT2 proteins (e.g Swiss:O00337) [1]. In the FeoB proteins (e.g.  Swiss:O25396), which are believed to be Fe2+ transporters, it includes the membrane pore region, so the function of this region is likely to be more general than just nucleoside specificity [2]. This family may represent the pore and gate, with a wide potential range of specificity. Hence its name 'Gate'.	NULL	FeoB has been identified as part of this transport system and may play a role in the transport of ferrous iron. FeoB is a large 700-800 amino acid integral membrane protein
ABO11105	N8WFH5 (Uncharacterized protein OS=Acinetobacter sp. CIP 56.2 GN=F966_00472 PE=4 SV=1)	NULL	NULL	Nuclear pore complex	NULL	NULL	sub-nuclearly localized at the nuclear pore
ABO10768	A0A009SXR8 (MerR regulatory family protein OS=Acinetobacter baumannii 99063 GN=J529_1762 PE=4 SV=1)	PF13411.4_MerR HTH family regulatory protein	HTH_MERR_2,PS50937;MerR-type HTH domain profile(MATRIX)	Nucleolus	NULL	NULL	The merR-type HTH domain is a DNA-binding, winged helix-turn-helix (wHTH) domain of about 70 residues present in the merR family of transcriptional regulators. MerR-type regulators are present in diverse bacterial genera, in the cytoplasm. The helix-turn-helix DNA-binding motif is located in the N-terminal part of these transcriptional regulators and is followed by a coiled-coil region. The C-terminal part of merR-type regulators contains effector binding regions that are specific to the effector recognised. Most merR-type transcriptional regulators respond to environmental stimuli, like heavy metals, oxidative stress or antibiotics and a subgroup of metalloregulators are bacterial transcription activators that respond to metal ions
ABO10769	A0A009SFF5 (Serine hydrolase family protein OS=Acinetobacter baumannii 99063 GN=J529_1761 PE=4 SV=1)	PF06821.11_Serine hydrolase	NULL	Nuclear pore complex	Members of this family have serine hydrolase activity. They contain a conserved serine hydrolase motif, GXSXG/A, where the serine is a putative nucleophile [1].                          This family has an alpha-beta hydrolase fold [2,3]. Eukaryotic members of this family have a conserved LXCXE motif, which binds to retinoblastomas. This motif is absent from prokaryotic members of this family [3].	NULL	Serine hydrolases are one of the largest known enzyme classes comprising approximately ~200 enzymes or 1% of the genes in the human proteome.[1] A defining characteristic of these enzymes is the presence of a nucleophilic serine in their active site, which is used for the hydrolysis of substrates. Catalysis proceeds by the formation of an acyl-enzyme intermediate through this serine, followed by water/hydroxide-induced saponification of the intermediate and regeneration of the enzyme
ABO10772	A0A1E3M809 (Histidine kinase OS=Acinetobacter baumannii GN=BGC29_15805 PE=4 SV=1)	PF13589.4_Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	NULL	Nucleolus	This family represents, additionally, the structurally related ATPase domains of histidine kinase, DNA gyrase B and HSP90.	NULL	Histidine kinases (HK) are multifunctional, and in non-animal kingdoms, typically transmembrane, proteins of the transferase class of enzymes that play a role in signal transduction across the cellular membrane. The vast majority of HKs are homodimers that exhibit autokinase, phosphotransfer, and phosphatase activity
ABO10778	A0A062FCK9 (CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase OS=Acinetobacter baumannii 754286 GN=pgsA PE=3 SV=1)	PF01066.19_CDP-alcohol phosphatidyltransferase	CDP_ALCOHOL_P_TRANSF,PS00379;CDP-alcohol phosphatidyltransferases signature(PATTERN)	Nucleolus	All of these members have the ability to catalyse the displacement of CMP from a CDP-alcohol by a second alcohol with formation of a phosphodiester bond and concomitant breaking of a phosphoride anhydride bond.	NULL	catalyses the conversion of CDP-diacylglycerol and glycerol-3-phosphate to CMP and 3-(3-phosphatidyl)-glycerol 1-phosphate in the committed step to the synthesis of acidic phospholipids. It is an integral membrane protein
ABO11108	N8XTC6 (Uncharacterized protein OS=Acinetobacter sp. CIP 56.2 GN=F966_00469 PE=4 SV=1)	PF06527.9_TniQ	NULL	Nucleolus	This family consists of several bacterial TniQ proteins. TniQ along with TniA and B is involved in the transposition of the mercury-resistance transposon Tn5053 which carries the mer operon. It has been suggested that the tni genes are involved in the dissemination of integrons [1].	NULL	involved in the transposition of the mercury-resistance transposon Tn5053 that carries the mer operon. It has been suggested that the tni genes are involved in the dissemination of integrons
ABO11109	N8WF15 (Uncharacterized protein OS=Acinetobacter sp. CIP 56.2 GN=F966_00468 PE=4 SV=1)	PF05621.9_Bacterial TniB protein	NULL	Nucleolus	This family consists of several bacterial TniB NTP-binding proteins. TniB is a probable ATP-binding protein [1] which is involved in Tn5053 mercury resistance transposition [2].	NULL	TniB is a probable ATP-binding protein which is involved in Tn5053 mercury resistance transposition
